KLKX-LP,45.886333    -95.376417 ,,,
KSWJ, 45.878056    -95.379722  ,,,
KULO,45.940250    -95.467806 ,,,
KXRA, 45.931917    -95.445583   ,,,
KXRA-FM,45.931917    -95.445583,,,
KXRZ, 45.879694    -95.310028   ,,,
KCFB,45.500528    -94.242222  ,,,
KCLD-FM,45.567444    -94.512222 ,,,
KVSC,45.516611    -94.231361 ,,,
KZYS-LP,45.554667    -94.150250 ,,,
WROJ-LP, 45.539139    -94.168333  ,,,
WWJO,45.814417    -94.027472 ,,,
KZRV,45.767444    -94.134694   ,,,
WHMH-FM,45.596639    -94.157222,,,
KLZZ, 45.500528    -94.242222  ,,,
KCML, 45.539139    -94.168333 ,,,
KKJM,45.638556    -94.373306  ,,,
KBPN,46.422472    -94.461667   ,,,
KBPR,46.422444    -94.461667  ,,,
KLIZ-FM, 46.332167    -94.174139 ,,,
KUAL-FM,46.332194    -94.174167 ,,,
WJJY-FM,46.442750    -94.382222 ,,,
KBHP,47.369667    -94.881944  ,,,
KBSB,47.486611    -94.874694  ,,,
KCRB-FM,47.705778    -94.486083  ,,,
KKBJ-FM,47.555778    -94.801389  ,,,
KKZY,47.369944    -94.881944   ,,,
KNBJ,47.705778    -94.486083  ,,,
KBHP,47.369667    -94.881944 ,,,
KBSB,47.486611    -94.874694 ,,,
KLCI,45.238861    -93.687472 ,,,
KCMF,46.319972    -96.092556  ,,,
KJJK-FM,46.245222    -95.979750  ,,,
KNWF,46.319972    -96.092556  ,,,
KZCR,46.469139    -96.199500  ,,,
KRCQ,46.721917    -95.843944  ,,,
KFML,46.004139    -94.328056  ,,,
WYRQ-FM,45.949417    -94.296389 ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
